Nom,Codi,Codi comarca,Nom comarca
Sant Miquel de Campmajor,171740,28,Pla de l'Estany
Sant Miquel de Fluvià,171753,2,Alt Empordà
Sant Mori,171766,2,Alt Empordà
Sant Pau de Segúries,171772,31,Ripollès
Sant Pere Pescador,171788,2,Alt Empordà
Sant Pere Sallavinera,81897,6,Anoia
Sant Pere de Ribes,82310,17,Garraf
Sant Pere de Riudebitlles,82325,3,Alt Penedès
Sant Pere de Torelló,82331,24,Osona
Sant Pere de Vilamajor,82346,41,Vallès Oriental
Sant Pol de Mar,82359,21,Maresme
Sant Quintí de Mediona,82362,3,Alt Penedès
Sant Quirze Safaja,82397,42,Moianès
Sant Quirze de Besora,82378,24,Osona
Sant Quirze del Vallès,82384,40,Vallès Occidental
Sant Ramon,251945,32,Segarra
Sant Sadurní d'Anoia,82401,3,Alt Penedès
Sant Sadurní d'Osormort,82418,24,Osona
Sant Salvador de Guardiola,80983,7,Bages
Sant Vicenç de Castellet,82628,7,Bages
Sant Vicenç de Montalt,82649,21,Maresme
Sant Vicenç de Torelló,82652,24,Osona
Sant Vicenç dels Horts,82634,11,Baix Llobregat
Santa Bàrbara,431384,22,Montsià
Santa Cecília de Voltregà,82439,24,Osona
Santa Coloma de Cervelló,82444,11,Baix Llobregat
Santa Coloma de Farners,171805,34,Selva
Santa Coloma de Gramenet,82457,13,Barcelonès
Santa Coloma de Queralt,431397,16,Conca de Barberà
Santa Cristina d'Aro,171812,10,Baix Empordà
Santa Eugènia de Berga,82460,24,Osona
Santa Eulàlia de Riuprimer,82476,24,Osona
Santa Eulàlia de Ronçana,82482,41,Vallès Oriental
Santa Fe del Penedès,82495,3,Alt Penedès
Santa Llogaia d'Àlguema,171827,2,Alt Empordà
Santa Margarida de Montbui,82508,6,Anoia
Santa Margarida i els Monjos,82515,3,Alt Penedès
Santa Maria d'Oló,82589,42,Moianès
Santa Maria de Besora,82536,24,Osona
Santa Maria de Martorelles,82567,41,Vallès Oriental
Santa Maria de Merlès,82554,14,Berguedà
Santa Maria de Miralles,82573,6,Anoia
Santa Maria de Palautordera,82592,41,Vallès Oriental
Santa Oliva,431401,12,Baix Penedès
Santa Pau,171848,19,Garrotxa
Santa Perpètua de Mogoda,82606,40,Vallès Occidental
Santa Susanna,82613,21,Maresme
Santpedor,81923,7,Bages
Sarral,431423,16,Conca de Barberà
Sarrià de Ter,171864,20,Gironès
Sarroca de Bellera,252017,25,Pallars Jussà
Sarroca de Lleida,252000,33,Segrià
"Saus, Camallera i Llampaies",171870,2,Alt Empordà
Savallà del Comtat,431439,16,Conca de Barberà
"Secuita, la",431444,36,Tarragonès
"Selva de Mar, la",171886,2,Alt Empordà
"Selva del Camp, la",431457,8,Baix Camp
Senan,431460,16,Conca de Barberà
Senterada,252022,25,Pallars Jussà
"Sentiu de Sió, la",250352,23,Noguera
Sentmenat,82671,40,Vallès Occidental
Serinyà,171903,28,Pla de l'Estany
Serra de Daró,171910,10,Baix Empordà
Seròs,252043,33,Segrià
Setcases,171925,31,Ripollès
"Seu d'Urgell, la",252038,4,Alt Urgell
Seva,82690,24,Osona
Sidamon,252056,27,Pla d'Urgell
Sils,171931,34,Selva
Sitges,82704,17,Garraf
Siurana,170524,2,Alt Empordà
Sobremunt,82711,24,Osona
"Soleràs, el",252069,18,Garrigues
Solivella,431476,16,Conca de Barberà
Solsona,252075,35,Solsonès
Sora,82726,24,Osona
Soriguera,252081,26,Pallars Sobirà
Sort,252094,26,Pallars Sobirà
Soses,252108,33,Segrià
Subirats,82732,3,Alt Penedès
Sudanell,252115,33,Segrià
Sunyer,252120,33,Segrià
Susqueda,171946,34,Selva
"Sénia, la",430445,22,Montsià
Súria,82747,7,Bages
Tagamanent,82763,41,Vallès Oriental
Talamanca,82779,7,Bages
Talarn,252154,25,Pallars Jussà
Talavera,252167,32,Segarra
"Tallada d'Empordà, la",171959,10,Baix Empordà
Taradell,82785,24,Osona
Tarragona,431482,36,Tarragonès
Tarroja de Segarra,252192,32,Segarra
Tarrés,252189,18,Garrigues
Tavertet,82802,24,Osona
Tavèrnoles,82750,24,Osona
Teià,82819,21,Maresme
Terrades,171962,2,Alt Empordà
Terrassa,82798,40,Vallès Occidental
Tiana,82824,21,Maresme
Tiurana,252228,23,Noguera
Tivenys,431495,9,Baix Ebre
Tivissa,431508,30,Ribera d'Ebre
Tona,82830,24,Osona
Tordera,82845,21,Maresme
Torelló,82858,24,Osona
"Torms, els",252249,18,Garrigues
Tornabous,252252,38,Urgell
"Torre de Cabdella, la",252271,25,Pallars Jussà
"Torre de Claramunt, la",82861,6,Anoia
"Torre de Fontaubella, la",431515,29,Priorat
"Torre de l'Espanyol, la",431520,30,Ribera d'Ebre
Torre-serona,252332,33,Segrià
Torrebesses,252265,33,Segrià
Torredembarra,431536,36,Tarragonès
Torrefarrera,252287,33,Segrià
Torrefeta i Florejacs,259078,32,Segarra
Torregrossa,252304,27,Pla d'Urgell
Torrelameu,252311,23,Noguera
Torrelavit,82877,3,Alt Penedès
Torrelles de Foix,82883,3,Alt Penedès
Torrelles de Llobregat,82896,11,Baix Llobregat
Torrent,171978,10,Baix Empordà
Torres de Segre,252326,33,Segrià
Torroella de Fluvià,171984,2,Alt Empordà
Torroella de Montgrí,171997,10,Baix Empordà
Torroja del Priorat,431541,29,Priorat
Tortellà,172001,19,Garrotxa
Tortosa,431554,9,Baix Ebre
Torà,252234,32,Segarra
Toses,172018,31,Ripollès
Tossa de Mar,172023,34,Selva
Tremp,252347,25,Pallars Jussà
Tàrrega,252173,38,Urgell
Térmens,252206,23,Noguera
Tírvia,252213,26,Pallars Sobirà
Ullastrell,82900,40,Vallès Occidental
Ullastret,172057,10,Baix Empordà
Ulldecona,431567,22,Montsià
Ulldemolins,431573,29,Priorat
Ullà,172044,10,Baix Empordà
Ultramort,172039,10,Baix Empordà
Urús,172060,15,Cerdanya
Vacarisses,82917,40,Vallès Occidental
"Vajol, la",170144,2,Alt Empordà
"Vall d'en Bas, la",172076,19,Garrotxa
"Vall de Bianya, la",172082,19,Garrotxa
"Vall de Boí, la",250432,5,Alta Ribagorça
Vall de Cardós,259010,26,Pallars Sobirà
Vall-llobrega,172095,10,Baix Empordà
Vallbona d'Anoia,82922,6,Anoia
Vallbona de les Monges,252385,38,Urgell
Vallcebre,82938,14,Berguedà
Vallclara,431589,16,Conca de Barberà
Vallfogona de Balaguer,252402,23,Noguera
Vallfogona de Ripollès,171707,31,Ripollès
Vallfogona de Riucorb,431592,16,Conca de Barberà
Vallgorguina,82943,41,Vallès Oriental
Vallirana,82956,11,Baix Llobregat
Vallmoll,431606,1,Alt Camp
Vallromanes,82969,41,Vallès Oriental
Valls,431613,1,Alt Camp
"Valls d'Aguilar, les",259062,4,Alt Urgell
"Valls de Valira, les",252398,4,Alt Urgell
Vandellòs i l'Hospitalet de l'Infant,431628,8,Baix Camp
"Vansa i Fórnols, la",259097,4,Alt Urgell
Veciana,82975,6,Anoia
"Vendrell, el",431634,12,Baix Penedès
Ventalló,172109,2,Alt Empordà
Verdú,252424,38,Urgell
Verges,172116,10,Baix Empordà
Vespella de Gaià,431649,36,Tarragonès
Vic,82981,24,Osona
Vidreres,172137,34,Selva
Vidrà,172121,24,Osona
Vielha e Mijaran,252430,39,Aran
Vila-rodona,431704,1,Alt Camp
Vila-sacra,172305,2,Alt Empordà
Vila-sana,252521,27,Pla d'Urgell
Vila-seca,431711,36,Tarragonès
Vilabella,431652,1,Alt Camp
Vilabertran,172142,2,Alt Empordà
Vilablareix,172155,20,Gironès
Vilada,82994,14,Berguedà
Viladamat,172174,2,Alt Empordà
Viladasens,172168,20,Gironès
Viladecans,83015,11,Baix Llobregat
Viladecavalls,83008,40,Vallès Occidental
Vilademuls,172180,28,Pla de l'Estany
Viladrau,172207,24,Osona
Vilafant,172214,2,Alt Empordà
Vilafranca del Penedès,83054,3,Alt Penedès
Vilagrassa,252445,38,Urgell
Vilajuïga,172235,2,Alt Empordà
Vilalba Sasserra,83067,41,Vallès Oriental
Vilalba dels Arcs,431750,37,Terra Alta
Vilaller,252458,5,Alta Ribagorça
Vilallonga de Ter,172240,31,Ripollès
Vilallonga del Camp,431665,36,Tarragonès
Vilamacolum,172253,2,Alt Empordà
Vilamalla,172266,2,Alt Empordà
Vilamaniscle,172272,2,Alt Empordà
Vilamòs,252477,39,Aran
Vilanant,172288,2,Alt Empordà
Vilanova d'Escornalbou,431671,8,Baix Camp
Vilanova de Bellpuig,252483,27,Pla d'Urgell
Vilanova de Meià,252509,23,Noguera
Vilanova de Prades,431687,16,Conca de Barberà
Vilanova de Sau,83036,24,Osona
Vilanova de Segrià,252516,33,Segrià
Vilanova de l'Aguda,252496,23,Noguera
Vilanova de la Barca,252542,33,Segrià
Vilanova del Camí,83020,6,Anoia
Vilanova del Vallès,89024,41,Vallès Oriental
Vilanova i la Geltrú,83073,17,Garraf
Vilaplana,431690,8,Baix Camp
Vilassar de Dalt,82140,21,Maresme
Vilassar de Mar,82191,21,Maresme
Vilaverd,431726,16,Conca de Barberà
Vilaür,172229,2,Alt Empordà
"Vilella Alta, la",431732,29,Priorat
"Vilella Baixa, la",431747,29,Priorat
Vilobí d'Onyar,172333,34,Selva
Vilobí del Penedès,83041,3,Alt Penedès
Vilopriu,172327,10,Baix Empordà
"Vilosell, el",252537,18,Garrigues
Vimbodí i Poblet,431763,16,Conca de Barberà
Vinaixa,252555,18,Garrigues
Vinebre,431779,30,Ribera d'Ebre
Vinyols i els Arcs,431785,8,Baix Camp
Viver i Serrateix,83089,14,Berguedà
Xerta,430521,9,Baix Ebre
Àger,250024,23,Noguera
Òdena,81430,6,Anoia
Òrrius,81537,21,Maresme
